relative_position,army_value,current_stage,gameloop
0.05362339833080798,2225,early,14640
0.05470024462301404,1775,early,14880
0.2995795778005866,2800,early,12240
0.12258800235744749,6050,early,12480
0.8919361339350527,2050,early,6960
0.9536760683306038,2150,early,7200
0.9763288990550756,1975,early,7440
0.1263552043292966,1575,early,16080
0.1805262650270471,3800,early,16320
0.13388707164055091,6350,early,16560
0.6802735284667114,4275,early,18240
0.6583163590081499,6150,early,18480
0.6867624109156772,6700,early,18720
0.7927424018484752,4275,early,18960
0.7701770333328503,6925,early,19440
0.8166055717109065,2100,early,12000
0.708456163738937,3675,early,12240
0.8533347121735853,2625,early,12480
0.6475718116775189,3675,early,12720
0.7620599075809633,4725,early,12960
0.7233378718638116,3150,early,13200
0.2893202036279146,1400,early,14880
0.2894162889834987,1600,early,15120
0.734369913400109,5400,early,38880
0.9040091477270347,3600,early,15600
0.895311928315894,3600,early,16320
0.08018480006330742,950,early,13920
0.12170870031435155,1425,early,14400
0.8439103154760965,2000,early,14640
0.1458226638392932,2950,early,17040
0.1916154019159384,1600,early,17280
0.9660025338748806,500,early,9120
0.9285076982763444,1250,early,9360
0.8737668514700819,3400,early,12960
0.9493457107380691,5400,early,13680
0.9198778011714134,4800,early,13920
0.9240335064174917,4000,early,14160
0.9679590877533846,1600,early,12720
0.9173238770011699,4150,early,13200
0.7077291440893148,875,early,17520
0.8683549162077132,1350,early,17760
0.9895833333333334,3150,early,18000
0.8815654311582671,2850,early,18240
0.7933425969167168,2750,early,18480
0.6666928685126777,3150,early,18720
0.7008791982328894,2700,early,18960
0.5103813513904867,1175,early,19200
0.6405603579410111,2200,early,19440
0.14373140746632018,2225,early,19920
0.3668538729105114,900,early,20160
0.21227014182644965,4050,early,20400
0.9302590642611213,1125,early,7200
0.9348213631798417,1000,early,7440
0.9167674879453831,1750,early,8160
0.8764044943820225,1750,early,8400
0.9688017554280398,1750,early,9120
0.94907060174685,2500,early,9360
0.9571052671842915,2500,early,9600
0.9726818852884143,2000,early,9840
0.7869708191979985,1875,early,10080
0.7282032330854228,2125,early,10320
0.18732241990825954,3225,mid,20400
0.44847581434467343,7250,mid,23280
0.6619739184290749,5500,mid,23520
0.7926520385630924,4775,mid,16080
0.9142412080726181,2800,mid,16560
0.8675352738125173,7200,mid,16560
0.31264013450518857,2800,mid,16800
0.06697861158152729,3825,mid,15600
0.023703090919043324,3600,mid,18240
0.23407958613666335,5000,mid,19920
0.109657506601197,2200,mid,20640
0.10971608511474851,4200,mid,20880
0.17329484573154375,2000,mid,21120
0.8377211614508874,6600,mid,25680
0.5524144146965132,4500,mid,25920
0.7246523998396401,14200,mid,21600
0.6807599734474865,9300,mid,21840
0.8194708967326497,7900,mid,22320
0.8580399602222243,5800,mid,22560
0.8405047873661748,4000,mid,23040
0.9124356502761682,4200,mid,23280
0.800931600052667,2400,mid,24000
0.3200691735990784,2600,mid,29280
0.720844364203082,8000,mid,35760
0.7008612751339839,7200,mid,36000
0.2909130798833491,2525,mid,20400
0.4243468527774129,2400,mid,20880
0.1268736025374051,3700,mid,12480
0.12855679188129832,3350,mid,21600
0.08852981086654288,4425,mid,11760
0.25512221108310557,2750,mid,12000
0.14176505882373425,2700,mid,21600
0.17969177843776873,4900,mid,23520
0.42005222763991057,3875,mid,23760
0.10162020119801962,2000,mid,24960
0.30577457929392654,2125,mid,25200
0.15450484572948453,2650,mid,11520
0.13253617696196568,2450,mid,13680
0.10148820051453444,2150,mid,14880
0.7801707385762237,3200,mid,11520
0.37295649236057415,2450,mid,16800
0.5628429227975935,3000,mid,26400
0.06262610748846847,5200,mid,26640
0.08435286794420516,7700,mid,26880
0.042019546837886,4800,mid,27120
0.9023667691984836,5100,mid,17760
0.5858424865717229,5550,mid,16320
0.7373521816415599,6700,mid,24480
0.6634039549762967,3325,mid,24720
0.5811588277155758,5975,mid,24960
0.7253260306520528,8200,mid,19440
0.738056811630406,6675,mid,19680
0.7810075578424961,4200,mid,17520
0.7748917654729105,4950,mid,17760
0.8802779893331715,5700,mid,16080
0.08741024545287546,4375,mid,15360
0.7835147318195419,2000,mid,16560
0.08540049530488947,4175,mid,17280
0.09214145646851934,3600,mid,17520
0.1364619054058327,2800,mid,18240
0.3133563099664284,5200,mid,18480
0.24994255074549188,2700,mid,18720
0.2967295636733457,7650,mid,19200
0.10870751979358001,4300,mid,24240
0.03936880830814932,2675,mid,15120
0.04953079995714632,4100,mid,17520
0.08777309885568618,3575,mid,13920
0.2647640701791236,3175,mid,14160
0.03282592620330205,2075,mid,13440
0.9082838168902638,2650,mid,14400
0.06159112752141516,3600,mid,20880
0.6812750350640623,5450,mid,30000
0.30343401803792047,5400,mid,31680
0.2980114638260266,2800,mid,25440
0.47600505744352917,3750,mid,26160
0.7247438826531561,3450,mid,26640
0.07566228720623713,4475,mid,13920
0.14820701660578783,5350,mid,16800
0.1971833851997321,6250,mid,17040
0.8051591387362821,3325,mid,21840
0.22416602079224357,2200,mid,24720
0.24415686201572018,4825,mid,24960
0.2642289026545135,3625,mid,25200
0.11968493821795323,2325,mid,25440
0.104011008783991,3125,mid,17520
0.18220699710749255,6400,mid,19200
0.2407320424095979,2425,mid,19440
0.7242802583751902,6225,mid,24240
0.7709120447599572,5400,mid,26400
