name,race,matchup,relative_position,army_x,army_y,total_army_value,died_army_value,gameloop
正义的泉水沟,Zerg,TvZ,0.032209998233095005,86,27,1425,0,16800
Cyan,Protoss,PvZ,0.34978100044661925,123,68,0,0,5760
iGXiGua,Zerg,PvZ,0.023070635773325354,40,74,0,0,5760
Cyan,Protoss,PvZ,0.9137069632622897,36,98,0,0,6480
iGXiGua,Zerg,PvZ,0.021232449287412636,32,47,300,0,6480
Cyan,Protoss,PvZ,0.3484867970989637,123,70,0,0,6720
iGXiGua,Zerg,PvZ,0.021232449287412636,32,47,0,0,6720
Cyan,Protoss,PvZ,0.9310978098371993,32,83,0,0,7200
iGXiGua,Zerg,PvZ,0.021232449287412636,32,47,300,0,7200
Cyan,Protoss,PvZ,0.0238026135091135,165,106,300,0,7440
iGXiGua,Zerg,PvZ,0.021232449287412636,32,47,0,0,7440
Cyan,Protoss,PvZ,0.1358307584794236,151,99,675,200,7680
iGXiGua,Zerg,PvZ,0.0238026135091135,42,106,300,100,7680
Cyan,Protoss,PvZ,0.9521255110557301,32,43,500,0,7920
iGXiGua,Zerg,PvZ,0.022202047916493495,31,47,675,50,7920
Cyan,Protoss,PvZ,0.9644359211176852,35,46,1350,375,8160
iGXiGua,Zerg,PvZ,0.030389490921423457,35,47,1150,250,8160
Cyan,Protoss,PvZ,0.028027891338142208,167,106,1825,100,8400
iGXiGua,Zerg,PvZ,0.08626585102619527,47,99,1600,325,8400
Cyan,Protoss,PvZ,0.9236314338380975,40,57,1325,200,8640
iGXiGua,Zerg,PvZ,0.021232449287412636,32,47,1775,175,8640
Cyan,Protoss,PvZ,0.9236314338380975,40,57,200,200,8880
iGXiGua,Zerg,PvZ,0.10292768116540307,43,63,600,0,8880
Cyan,Protoss,PvZ,0.06696882222830808,159,80,1325,800,9120
iGXiGua,Zerg,PvZ,0.022844974062983803,42,106,400,0,9120
Cyan,Protoss,PvZ,0.08789742610478324,156,79,2650,350,9360
iGXiGua,Zerg,PvZ,0.023070635773325354,40,74,1325,950,9360
Cyan,Protoss,PvZ,0.10263002520247821,154,76,1475,0,9600
iGXiGua,Zerg,PvZ,0.023070635773325354,40,74,500,100,9600
Cyan,Protoss,PvZ,0.9755896537306944,45,110,700,0,9840
iGXiGua,Zerg,PvZ,0.027898119067558513,45,107,325,25,9840
Cyan,Protoss,PvZ,0.9298718206841159,51,108,1550,350,10080
iGXiGua,Zerg,PvZ,0.1466221382813827,57,97,1300,300,10080
Cyan,Protoss,PvZ,0.968503937007874,44,77,1200,600,10320
iGXiGua,Zerg,PvZ,0.0769943471846325,49,81,1750,750,10320
Cyan,Protoss,PvZ,0.9460342438070801,35,57,1250,0,10560
iGXiGua,Zerg,PvZ,0.0238026135091135,42,106,450,0,10560
Cyan,Protoss,PvZ,0.8905175953484175,25,68,1500,200,10800
iGXiGua,Zerg,PvZ,0.10134716812217837,40,62,1150,150,10800
Cyan,Protoss,PvZ,0.9106676638033137,23,61,1300,200,11040
iGXiGua,Zerg,PvZ,0.021232449287412636,32,47,1250,75,11040
Cyan,Protoss,PvZ,0.9266802161067463,36,40,1100,300,11280
iGXiGua,Zerg,PvZ,0.039533881974648244,29,45,1075,75,11280
Cyan,Protoss,PvZ,0.07387331522241636,160,101,2050,800,11760
iGXiGua,Zerg,PvZ,0.025257978788040703,43,106,0,0,11760
Cyan,Protoss,PvZ,0.9643763033252462,44,105,4900,200,12480
iGXiGua,Zerg,PvZ,0.028927087140847574,44,106,1775,200,12480
Cyan,Protoss,PvZ,0.9778760231399186,40,107,4850,300,12720
iGXiGua,Zerg,PvZ,0.96783537982266,166,105,2575,1075,12720
Cyan,Protoss,PvZ,0.921428854214535,48,117,3925,800,12960
iGXiGua,Zerg,PvZ,0.96783537982266,166,105,2000,1400,12960
正义的泉水沟,Zerg,ZvZ,0.021840780044651287,154,144,50,0,3600
iGXiGua,Zerg,ZvZ,0.3854558851458235,67,114,50,0,3600
正义的泉水沟,Zerg,ZvZ,0.9637838979693638,50,64,425,75,4320
iGXiGua,Zerg,ZvZ,0.04339022083877353,51,64,450,100,4320
正义的泉水沟,Zerg,ZvZ,0.021840780044651287,139,160,450,150,4560
iGXiGua,Zerg,ZvZ,0.04339022083877353,51,64,50,50,4560
正义的泉水沟,Zerg,ZvZ,0.9211045791739427,56,64,350,150,4800
iGXiGua,Zerg,ZvZ,0.02117024498079101,60,45,525,475,4800
正义的泉水沟,Zerg,ZvZ,0.021840780044651287,139,160,0,0,5040
